return-date,sku,quantity,fulfillment-center-id,detailed-disposition,reason,status,customer-comments
2019-03-10T04:02:13+00:00,HM0701-F-35,1,SDF9,CUSTOMER_DAMAGED,APPAREL_TOO_SMALL,IMMEDIATE_DISPOSAL,
2019-03-09T06:43:00+00:00,HM0701-H-40,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-03-08T07:46:11+00:00,HM0706-M-40,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-03-08T04:49:00+00:00,HM0701-F-42,1,SDF9,DEFECTIVE,NO_REASON_GIVEN,IMMEDIATE_DISPOSAL,
2019-03-07T22:34:31+00:00,HM0748-1739,1,BUF9,SELLABLE,MISORDERED,Unit returned to inventory,size
2019-03-07T20:27:23+00:00,HM0748-1737,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,Footbed is heavy.
2019-03-07T18:48:49+00:00,HM0701-H-40,1,SDF9,CUSTOMER_DAMAGED,APPAREL_TOO_SMALL,IMMEDIATE_DISPOSAL,
2019-03-07T17:47:20+00:00,HM0701-F-41,1,HIO9,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,
2019-03-07T12:21:37+00:00,HM0722-B-36,1,SDF9,CUSTOMER_DAMAGED,APPAREL_TOO_SMALL,IMMEDIATE_DISPOSAL,
2019-03-07T11:23:18+00:00,HM0722-H-40,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-03-07T06:25:17+00:00,HM0701-R-39,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-03-07T04:57:50+00:00,HM0748-1737,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-03-07T03:54:59+00:00,HM0701-F-42,1,SDF9,SELLABLE,MISORDERED,Unit returned to inventory,
2019-03-05T23:43:57+00:00,HM0701-B-41,1,SMF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-03-05T15:46:16+00:00,HM0731-Z-42,1,LAS2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,
2019-03-05T10:42:56+00:00,HM0722-H-39,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-03-04T23:14:09+00:00,HM0722-B-37,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-03-04T23:10:49+00:00,HM0701-R-39,1,MIA7,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,i just need 1 size up
2019-03-04T16:17:41+00:00,HM0737-F-38,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-03-04T01:07:29+00:00,HM0903-1634,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-03-03T10:12:23+00:00,HM0719-1239,1,LAS2,SELLABLE,MISSED_ESTIMATED_DELIVERY,Unit returned to inventory,
2019-03-02T11:37:58+00:00,HM0738-Z-38,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-03-02T02:18:08+00:00,HM0713-740,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,Appears different in patterns and the size is also large
2019-03-01T14:19:52+00:00,HM0722-L-40,1,MOB9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-03-01T02:31:01+00:00,HM0737-F-37,1,SDF9,DAMAGED,SWITCHEROO,Reimbursed,
2019-03-01T01:20:20+00:00,HM0724-M-41,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-02-28T22:55:04+00:00,HM0701-F-41,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,"the flip flop doesn't fit me, it keeps sliding off my feet which could cause danger in the future"
2019-02-28T18:47:48+00:00,HM0731-H-39,1,MIA7,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-28T18:47:48+00:00,HM0731-Y-39,1,MIA7,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-28T18:47:48+00:00,HM0731-Z-39,1,MIA7,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
