return-date,order-id,sku,quantity,fulfillment-center-id,detailed-disposition,reason,status,license-plate-number,customer-comments
2019-09-30T20:02:17+00:00,112-1208213-7927450,HM0748-1741,1,LEX2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR782932223,
2019-09-30T14:06:49+00:00,111-3090114-7972213,HM0722-H-39,1,MIA7,CUSTOMER_DAMAGED,DEFECTIVE,IMMEDIATE_DISPOSAL,LPNRR667847084,
2019-09-30T12:31:54+00:00,112-6314460-9269065,HM0731-Y-42,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR814066022,a bit heavy
2019-09-30T10:04:03+00:00,112-1451461-2037864,HM0731-Y-42,1,TUS1,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNPM042898134,
2019-09-30T01:20:51+00:00,114-9254338-7477026,HM0709-1936,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR814649278,
2019-09-29T17:08:38+00:00,114-1973965-6921803,HM0722-B-36,1,LAS2,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR790564855,
2019-09-29T16:52:42+00:00,113-9168956-3177821,HM0722-H-38,1,LEX1,CUSTOMER_DAMAGED,APPAREL_TOO_LARGE,IMMEDIATE_DISPOSAL,LPNRR836531612,
2019-09-29T14:29:50+00:00,113-5180902-0196220,HM0701-R-41,1,LEX1,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR836713454,
2019-09-29T10:43:36+00:00,112-1853460-8981061,HM0713-740,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR820955520,
2019-09-29T09:49:26+00:00,114-3677288-3462647,HM0738-140,1,LAS2,CUSTOMER_DAMAGED,DEFECTIVE,IMMEDIATE_DISPOSAL,LPNRR790694977,
2019-09-29T05:53:37+00:00,113-9396351-2714665,HM0759-3240,1,HIO9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR784682015,
2019-09-29T03:17:52+00:00,112-8783397-3771468,HM0725-137,1,LEX1,SELLABLE,UNDELIVERABLE_INSUFFICIENT_ADDRESS,Unit returned to inventory,LPNRR829704178,
2019-09-28T21:41:47+00:00,111-5106408-2225839,HM0505-1035/36,1,LAS2,SELLABLE,MISORDERED,Unit returned to inventory,LPNRR791352334,
2019-09-28T03:11:52+00:00,112-7733254-8613011,HM0742-2241,1,LAS2,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR790689642,And smell terrible like way too much fragrance added. Other pair did not smell.
2019-09-28T01:30:03+00:00,114-1808415-6790648,HM0722-B-40,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNRR815791250,
2019-09-28T00:44:36+00:00,113-5764866-9801025,HM0738-141,1,HIO9,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,LPNRR591791290,This says it is a womans size 10. I wear a 9.5 and this was too small. It is not a 10.
2019-09-27T22:37:46+00:00,114-1289681-6959426,HM0722-L-38,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR814019287,
2019-09-27T18:53:30+00:00,112-8676287-7486603,HM0737-F-39,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR789967571,
2019-09-27T09:47:25+00:00,114-9254338-7477026,HM0701-2135,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR814871899,
2019-09-27T08:13:00+00:00,114-5404848-7655433,HM0724-M-42,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR801334354,
2019-09-27T05:52:26+00:00,114-7217878-0252221,HM0731-Z-40,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR834115384,To short for my foot.
2019-09-27T03:43:31+00:00,111-2253915-4364250,HM0701-X-38,1,SMF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR724613099,
2019-09-27T03:41:28+00:00,113-2921307-9677845,HM0722-B-37,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR815399316,
2019-09-26T14:09:00+00:00,112-9644352-6293043,HM0701-1138,1,LAS2,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNRR781043690,"order orange and teal, keeping teal."
2019-09-26T12:22:56+00:00,114-6212353-5569820,HM0903-1233,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR815381188,
2019-09-26T09:09:05+00:00,113-2345115-1829051,HM0803-3244,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR793795029,
2019-09-25T23:55:50+00:00,113-5787970-3393869,HM0731-Z-41,1,LEX2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR831546430,
2019-09-25T20:16:52+00:00,112-8167008-6286624,HM0751-240,1,LAS2,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNRR796045390,
2019-09-25T20:16:52+00:00,112-8167008-6286624,HM0731-Y-40,1,LAS2,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNRR796045389,
2019-09-25T15:30:55+00:00,112-2346470-5526602,HM0747-0137,1,SDF9,CUSTOMER_DAMAGED,APPAREL_TOO_SMALL,IMMEDIATE_DISPOSAL,LPNRR815189441,
2019-09-25T14:14:46+00:00,114-2781152-7280242,HM0722-B-39,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNRR815360009,
2019-09-25T11:01:38+00:00,114-4825757-7231469,HM0701-B-41,1,LAS2,SELLABLE,NO_REASON_GIVEN,Unit returned to inventory,LPNRR792982816,
2019-09-25T11:01:38+00:00,114-4825757-7231469,HM0701-B-42,1,LAS2,SELLABLE,NO_REASON_GIVEN,Unit returned to inventory,LPNRR792982817,
2019-09-24T22:52:19+00:00,112-7973799-6171407,HM0701-X-40,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR763801905,
2019-09-24T17:25:20+00:00,114-0046042-7245865,HM0725-2538,1,LAS2,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR791295255,
2019-09-24T15:47:06+00:00,114-0190419-6212267,HM0722-H-39,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR814978769,
2019-09-24T15:22:05+00:00,111-5649126-4082669,HM0722-H-37,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR815635624,
2019-09-24T10:10:25+00:00,114-3988019-3945034,HM0747-0138,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR813911210,These flip flops run small and narrow.  They were too small.
2019-09-24T07:57:50+00:00,113-3422578-9587463,HM0738-V-35,1,LEX2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR834213349,
2019-09-24T05:46:52+00:00,114-0813562-7281068,HM0731-Z-38,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR794008524,
2019-09-24T01:56:06+00:00,114-6492398-8131405,HM0738-V-41,1,RIC9,SELLABLE,QUALITY_UNACCEPTABLE,Unit returned to inventory,LPNRR726987159,Length is too big (men's) and length is too small (women's) and all straps are too loose.
2019-09-24T00:00:37+00:00,114-3013155-5317812,HM0722-H-38,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR764175479,
2019-09-23T18:16:27+00:00,111-4036365-3602651,HM0722-L-38,1,SDF9,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNRR815301141,
2019-09-23T11:15:59+00:00,114-8275692-9830661,HM0722-H-37,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR815111492,
2019-09-23T04:24:15+00:00,114-0825955-0537064,HM0741-0238,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR834185201,my daughter usually wears size 4.5 and these flip flop are too small!
2019-09-23T00:01:31+00:00,114-3595944-2114640,HM0803-3044,1,LEX1,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR794270667,
2019-09-22T23:58:39+00:00,114-5582288-5990662,HM0801-744,1,LEX1,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR794270663,
2019-09-22T22:33:29+00:00,112-1659540-7268244,HM0722-B-40,1,SDF9,CUSTOMER_DAMAGED,APPAREL_STYLE,IMMEDIATE_DISPOSAL,LPNRR814850339,
2019-09-22T01:03:43+00:00,114-4265865-2957051,HM0729-M-37,1,LEX2,CUSTOMER_DAMAGED,APPAREL_TOO_SMALL,IMMEDIATE_DISPOSAL,LPNRR834171008,
2019-09-21T14:26:01+00:00,114-6069384-9712243,HM0722-H-36,1,LAS2,SELLABLE,MISORDERED,Unit returned to inventory,LPNRR795901981,I already ordered another size
2019-09-21T12:55:34+00:00,112-3573742-0379431,HM0731-Z-40,1,MOB9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR724031765,
2019-09-21T10:43:59+00:00,112-3949291-4632239,HM0722-H-40,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR814984845,
2019-09-21T05:35:35+00:00,111-2109040-2480253,HM0738-H-39,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR788283944,
