return-date,order-id,sku,quantity,fulfillment-center-id,detailed-disposition,reason,status,license-plate-number,customer-comments
2019-10-31T20:24:49+00:00,112-4210936-2690638,HM0803-3243,1,LEX1,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,LPNRR858228456,Size mismatch
2019-10-31T11:07:55+00:00,114-7463970-8781855,HM0722-H-36,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR807486835,
2019-10-31T04:26:19+00:00,114-5157519-1681802,HM0731-Z-40,1,SMF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR725052536,
2019-10-31T04:15:04+00:00,111-6715543-2601043,HM0731-Y-41,1,MIA7,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNRR667905527,
2019-10-31T02:38:25+00:00,112-7672066-3369031,HM0701-X-41,1,IND8,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNN629270163,
2019-10-30T20:18:20+00:00,111-6666190-2343460,HM0701-1240,1,IND8,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNN627271691,
2019-10-30T17:25:00+00:00,111-7873638-4229863,HM0719-1039,1,SDF9,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,LPNRR808886603,runs small
2019-10-30T13:07:17+00:00,111-0176006-1241013,HM0751-237,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR851216713,
2019-10-30T10:28:25+00:00,112-5520149-0922647,HM0739-142,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR807318211,
2019-10-30T10:28:01+00:00,112-5520149-0922647,HM0738-141,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR807259767,
2019-10-30T05:32:21+00:00,113-1136918-2724241,HM0722-B-39,1,LEX2,SELLABLE,MISORDERED,Unit returned to inventory,LPNRR851178982,
2019-10-30T01:27:29+00:00,111-2001186-4025004,HM0725-2539,1,LEX1,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNRR857330274,
2019-10-29T20:20:33+00:00,112-0015617-2536236,HM0701-X-40,1,MOB9,SELLABLE,MISORDERED,Unit returned to inventory,LPNN631053763,
2019-10-29T10:14:09+00:00,113-0619110-8292225,HM0739-238,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR808921530,
2019-10-29T07:08:47+00:00,112-7406928-2878666,HM0701-X-40,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR828863784,tight and hard soled. thought I was buying havianas
2019-10-29T00:17:34+00:00,111-2666605-9813868,HM0747-0139,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR804255096,
2019-10-28T23:18:54+00:00,113-5982260-5563402,HM0701-B-38,1,LEX2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR818736176,don't like the quality
2019-10-28T23:18:54+00:00,113-5982260-5563402,HM0701-B-38,1,LEX2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR818736175,don't like the quality
2019-10-28T22:49:31+00:00,113-5982260-5563402,HM0701-H-38,1,LEX2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR861020347,don't like the quality
2019-10-28T22:48:49+00:00,113-5982260-5563402,HM0722-L-37,1,LEX2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR861020346,don't like the quality
2019-10-28T20:12:05+00:00,114-6947189-6433855,HM0722-M-39,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR859730335,
2019-10-28T19:22:17+00:00,113-1509455-5032256,HM0738-139,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR807106131,
2019-10-28T14:26:17+00:00,114-5914352-0702636,HM0747-0141,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR814593537,
2019-10-28T14:25:15+00:00,114-5914352-0702636,HM0751-2242,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR814593536,
2019-10-28T14:23:03+00:00,114-4019278-6735422,HM0747-0140,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR814593534,
2019-10-28T10:04:09+00:00,112-0179175-5053830,HM0731-Z-35,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR815688053,
2019-10-28T08:58:48+00:00,112-4750371-4607412,HM0722-H-39,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR828499846,
2019-10-28T08:58:48+00:00,112-4750371-4607412,HM0725-139,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR828499847,
2019-10-27T16:58:02+00:00,113-6495942-3066666,HM0803-3244,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR828404578,
2019-10-27T07:50:23+00:00,114-3836460-3345856,HM0701-H-39,1,SDF9,SELLABLE,MISORDERED,Unit returned to inventory,LPNRR806733645,
2019-10-27T03:02:38+00:00,113-0160019-8534601,HM0701-R-38,1,SDF9,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNRR804250829,
2019-10-27T02:11:00+00:00,111-0194772-9051466,HM0701-X-41,1,LAS2,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,LPNRR828851227,Size runs small
2019-10-27T02:11:00+00:00,111-0194772-9051466,HM0701-H-41,1,LAS2,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,LPNRR828851226,Size runs small
2019-10-26T17:22:13+00:00,114-4572822-0841026,HM0738-141,1,LAS2,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR828574486,
2019-10-26T03:38:59+00:00,111-3686530-7847427,HM0738-141,1,RIC9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR816967636,
2019-10-25T19:17:11+00:00,112-8150600-3657826,HM0722-B-39,1,SDF9,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNRR807097265,
2019-10-25T17:49:05+00:00,113-1577310-3263445,HM0731-Z-37,1,LAS2,CUSTOMER_DAMAGED,SWITCHEROO,IMMEDIATE_DISPOSAL,LPNRR828441453,
2019-10-25T11:47:36+00:00,111-5143554-1601848,HM0731-H-38,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR828896171,
2019-10-25T03:40:04+00:00,114-0494609-0357035,HM0701-H-40,1,LAS2,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,LPNRR822409888,
2019-10-25T03:04:50+00:00,111-8152008-4421016,HM0738-136,1,LEX2,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR860341543,A little bit bigger than what I need
2019-10-25T00:13:41+00:00,114-3592048-6809851,HM0722-H-40,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR804360572,
2019-10-25T00:02:11+00:00,113-0501462-4636243,HM0701-H-41,1,IND8,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNN624502296,
2019-10-24T11:51:51+00:00,112-3838533-0856235,HM0722-L-38,1,LAS2,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNRR822506712,they are big
2019-10-24T02:19:24+00:00,112-3731221-9445011,HM0747-0141,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR818911528,
2019-10-24T01:28:45+00:00,111-0513512-1369038,HM0701-1841,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR804241405,
2019-10-23T19:56:54+00:00,111-1315559-7744211,HM0701-F-42,1,BUF9,SELLABLE,QUALITY_UNACCEPTABLE,Unit returned to inventory,LPNRR834950725,too small
2019-10-23T14:15:24+00:00,111-3753142-2506621,HM0701-H-37,1,LEX1,SELLABLE,UNDELIVERABLE_CARRIER_MISS_SORTED,Unit returned to inventory,LPNRR824957106,
2019-10-23T13:22:02+00:00,112-2566822-8481836,HM0722-B-37,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR804162146,
2019-10-23T04:55:10+00:00,113-8175464-7919404,HM0701-H-37,1,LAS2,CUSTOMER_DAMAGED,UNWANTED_ITEM,IMMEDIATE_DISPOSAL,LPNRR790126178,
2019-10-22T20:53:23+00:00,112-3319662-6778604,HM0701-X-40,1,OKC9,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,LPNRR553011363,
2019-10-22T18:15:34+00:00,112-4845892-0111401,HM0722-M-40,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR822526418,
2019-10-22T14:18:37+00:00,113-3761878-1753855,HM0722-L-38,1,RIC9,CUSTOMER_DAMAGED,APPAREL_STYLE,IMMEDIATE_DISPOSAL,LPNRR817147437,
2019-10-22T14:16:56+00:00,112-1472363-8216249,HM0722-X-37,1,LAS2,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNRR821439103,
2019-10-22T10:48:46+00:00,114-3488159-3990653,HM0722-B-38,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR806802864,
2019-10-22T10:48:46+00:00,114-3488159-3990653,HM0722-B-37,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR806802863,
2019-10-22T04:58:15+00:00,114-3954663-2951431,HM0731-H-39,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR807166022,
2019-10-21T18:33:54+00:00,112-3118602-1645058,HM0701-B-41,1,LAS2,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNRR822488072,
