return-date,order-id,sku,quantity,fulfillment-center-id,detailed-disposition,reason,status,license-plate-number,customer-comments
2019-09-01T06:04:29+00:00,111-2051703-8453037,HM0722-B-39,1,LEX2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR785054788,
2019-09-01T02:21:11+00:00,112-8629526-7976267,HM0803-3246,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR785354004,size runs very small.
2019-08-31T14:02:01+00:00,112-9125890-2842606,HM0731-Z-39,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR771400654,"heavier than expected, not comfortable"
2019-08-30T22:16:32+00:00,111-8654894-3339465,HM0737-Z-40,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR766706215,I don't like the quality.  The soles are extremely hard.
2019-08-30T21:32:24+00:00,113-9173960-6808225,HM0722-H-40,1,BUF9,SELLABLE,QUALITY_UNACCEPTABLE,Unit returned to inventory,LPNRR559875173,Fit / style issue
2019-08-30T20:10:50+00:00,113-9771246-4845032,HM0701-X-39,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR742134961,
2019-08-30T19:57:08+00:00,111-3410757-5624267,HM0742-0240,1,MIA7,SELLABLE,SWITCHEROO,Unit returned to inventory,LPNRR667509719,"Ordered all Size 10, one Size 8 was sent in error"
2019-08-30T19:00:48+00:00,114-8181365-2643460,HM0731-Z-42,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR766857217,
2019-08-30T18:21:37+00:00,114-6246143-4225020,HM0740-3240,1,SDF9,SELLABLE,NO_REASON_GIVEN,Unit returned to inventory,LPNRR767169329,
2019-08-30T14:45:06+00:00,113-8911082-3764251,HM0701-H-39,1,LAS2,CUSTOMER_DAMAGED,SWITCHEROO,IMMEDIATE_DISPOSAL,LPNRR800493956,
2019-08-30T14:29:08+00:00,112-7679975-6800265,HM0731-Z-38,1,RIC9,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,LPNRR726947952,listed as havianas but theyre a knock off
2019-08-30T06:19:28+00:00,111-5213360-7028268,HM0701-X-35,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR767147071,
2019-08-30T05:51:58+00:00,111-2555758-2597831,HM0701-X-40,1,SDF9,SELLABLE,UNDELIVERABLE_INSUFFICIENT_ADDRESS,Unit returned to inventory,LPNRR770699176,
2019-08-29T23:55:12+00:00,111-7874546-0134610,HM0741-1640,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR784607411,Ordered larger size
2019-08-29T18:06:59+00:00,114-0083667-0151420,HM0701-B-40,1,LAS2,SELLABLE,MISORDERED,Unit returned to inventory,LPNRR744483946,Too small.
2019-08-29T17:00:25+00:00,111-3701615-9434636,HM0737-Z-37,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR743858945,
2019-08-29T16:38:02+00:00,112-9631313-8415444,HM0903-1632,1,LEX1,DEFECTIVE,NOT_AS_DESCRIBED,IMMEDIATE_DISPOSAL,LPNRR789019150,size
2019-08-29T16:12:46+00:00,112-1038418-6857007,HM0737-Z-40,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR771064958,
2019-08-29T15:37:53+00:00,113-8645911-4139444,HM0701-X-40,1,LEX2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR784173198,color not as descibed
2019-08-29T14:33:11+00:00,114-5405741-1965838,HM0902-2134,1,LAS2,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNRR742512432,
2019-08-29T12:52:30+00:00,111-8423221-9537801,HM0753-1939,1,LEX1,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRR789548834,
2019-08-29T10:27:36+00:00,113-1242338-5655454,HM0740-3239,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR771406604,
2019-08-29T04:54:01+00:00,113-2587216-3110653,HM0722-B-38,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR780818960,
2019-08-29T04:40:49+00:00,112-1851750-5947404,HM0741-0241,1,SDF9,SELLABLE,MISORDERED,Unit returned to inventory,LPNRR771374754,to small
2019-08-28T23:31:17+00:00,114-0032834-5197038,HM0801-743,1,LAS2,SELLABLE,MISORDERED,Unit returned to inventory,LPNRR744181683,Color looks different in person than online.
2019-08-28T22:51:51+00:00,114-9842876-3197838,HM0803-3239,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR742562877,
2019-08-28T22:50:47+00:00,113-5614861-4392264,HM0722-H-36,1,LEX1,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR789802727,
2019-08-28T22:49:36+00:00,113-5614861-4392264,HM0722-B-36,1,LEX1,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR789802726,
2019-08-28T21:23:46+00:00,112-4699815-8931402,HM0759-3240,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR784682015,
2019-08-28T19:53:46+00:00,111-6890373-5451469,HM0725-137,1,BUF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR560215978,
2019-08-28T15:19:06+00:00,112-7593681-1746651,HM0903-1634,1,LEX2,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,LPNRR784188882,siziing way too small
2019-08-28T14:53:35+00:00,112-3203177-8465815,HM0722-L-37,1,MIA7,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR667607345,
2019-08-28T14:53:35+00:00,112-3203177-8465815,HM0722-H-37,1,MIA7,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR667607346,
2019-08-28T14:53:35+00:00,112-3203177-8465815,HM0722-B-37,1,MIA7,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR667607344,
2019-08-28T14:16:38+00:00,113-0472028-6546645,HM0722-B-39,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR743489014,
2019-08-28T13:21:37+00:00,111-6211421-4588259,HM0731-Y-41,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR771044313,
2019-08-28T12:39:10+00:00,113-3043073-0389866,HM0722-B-40,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR766765648,
2019-08-27T19:50:48+00:00,114-5121254-4894631,HM0731-Z-38,1,SDF9,SELLABLE,MISORDERED,Unit returned to inventory,LPNRR778046855,
2019-08-27T18:30:59+00:00,114-1982100-5699465,HM0722-H-40,1,SMF9,SELLABLE,QUALITY_UNACCEPTABLE,Unit returned to inventory,LPNRR725279124,B06X9TBZSZ:Product does not meet expectations.
2019-08-27T15:33:14+00:00,113-2091870-3097025,HM0709-1938,1,SDF9,SELLABLE,UNDELIVERABLE_INSUFFICIENT_ADDRESS,Unit returned to inventory,LPNRR770807279,
