2019年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
FBA销售商品数,976 ,975 ,1225 ,1392 ,2092 ,2345 ,,,,,,
FBM销售商品数,130 ,60 ,252 ,499 ,405 ,582 ,,,,,,
FBA退货商品数,103 ,125 ,78 ,101 ,183 ,209 ,,,,,,
FBM退货商品数,10 ,5 ,8 ,19 ,20 ,38 ,,,,,,
