sku,fulfilled-by,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,product-size-tier,currency,estimated-fee-total,estimated-referral-fee-per-unit,estimated-variable-closing-fee,estimated-order-handling-fee-per-order,estimated-pick-pack-fee-per-unit,estimated-weight-handling-fee-per-unit,expected-fulfillment-fee-per-unit
HM0701-F-38,Amazon,14.99,14.99,10.79,4.29,2.8,24.96,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0739-236,Amazon,15.99,15.99,10.85,4.3,2.9,25.25,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-F-40,Amazon,14.99,14.99,10.98,4.41,2.8,25.39,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0803-1241,Amazon,15.99,15.99,11.8,4.5,2.8,26.4,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0713-738,Amazon,15.99,15.99,10.79,4.29,2.8,24.96,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0706-M-37,Amazon,15.99,15.99,10.91,4.41,2.8,25.31,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0903-1633,Amazon,13.99,13.99,10.2,3.95,2.8,23.69,inches,0.73,pounds,Lg-Std-Non-Media,USD,5.38,2.1,0,--,--,--,3.28
HM0741-1639,Amazon,15.99,15.99,10.98,4.41,2.8,25.39,inches,1.25,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0722-L-40,Amazon,16.99,16.99,10.98,4.41,4.09,27.99,inches,1.3,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0731-H-36,Amazon,16.99,16.99,10.9,4.4,2.7,25.09,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0759-1037,Amazon,16.99,16.99,10.83,4.13,3.94,26.97,inches,1.21,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0722-L-37,Amazon,16.99,16.99,10.91,4.29,4.02,27.52,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0701-F-35,Amazon,14.99,14.99,10,5.9,2,25.8,inches,0.65,pounds,Lg-Std-Non-Media,USD,5.53,2.25,0,--,--,--,3.28
HM0701-R-36,Amazon,29.99,14.99,9.6,4.5,2.7,23.99,inches,0.7,pounds,Lg-Std-Non-Media,USD,5.53,2.25,0,--,--,--,3.28
HM0701-B-42,Amazon,14.99,14.99,11.5,4.49,2.8,26.06,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0751-240,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0747-0135,Amazon,15.99,15.99,10.9,4.35,2.9,25.4,inches,0.83,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0741-1637,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0731-Y-35,Amazon,15.99,15.99,10.8,4.3,2.9,25.19,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0753-1937,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0726-1139,Amazon,15.99,15.99,10.79,4.29,2.91,25.2,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0741-0235,Amazon,15.99,15.99,10.8,4.3,2.9,25.2,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0711-2642,Amazon,15.99,15.99,11.8,4.5,2.8,26.4,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0722-X-36,Amazon,15.99,15.99,9.52,5.43,3.31,27,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0505-1037/38,Amazon,15.99,15.99,11,8.2,3.5,34.4,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.66,2.4,0,--,--,--,5.26
HM0741-1638,Amazon,15.99,15.99,9.8,4.2,2.3,22.8,inches,0.7,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0722-B-40,Amazon,16.99,16.99,10.98,4.41,4.09,27.99,inches,1.3,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0725-136,Amazon,16.99,16.99,9.52,5.43,3.31,27,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.83,2.55,0,--,--,--,3.28
HM0706-L-37,Amazon,15.99,15.99,10.91,4.41,2.8,25.31,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-1135,Amazon,13.99,13.99,10.9,4.3,2.8,25.1,inches,0.85,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0706-L-38,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0752-3140,Amazon,15.99,15.99,11.3,4.3,2.9,25.7,inches,0.96,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0505-1041/42,Amazon,15.99,15.99,11.6,8.5,2.6,33.8,inches,1.25,pounds,Lg-Std-Non-Media,USD,7.66,2.4,0,--,--,--,5.26
HM0739-135,Amazon,15.99,15.99,10.81,4.33,2.9,25.27,inches,0.83,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0752-3141,Amazon,15.99,15.99,10.85,4.3,2.85,25.15,inches,0.96,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0733-1739,Amazon,15.99,15.99,11.18,4.29,2.8,25.35,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-1138,Amazon,13.99,13.99,10.79,4.29,2.8,24.96,inches,0.93,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0729-M-38,Amazon,14.99,14.99,10.98,4.29,2.8,25.16,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0744-2035,Amazon,14.99,14.99,10.8,4.4,2.9,25.4,inches,0.9,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0751-2238,Amazon,15.99,15.99,9.8,4.2,2.3,22.8,inches,0.7,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0747-0137,Amazon,15.99,15.99,10.79,4.29,2.91,25.2,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0753-938,Amazon,15.99,15.99,9.8,4.2,2.3,22.8,inches,0.7,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0751-2241,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0711-2640,Amazon,15.99,15.99,10.71,4.29,2.91,25.12,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0706-L-40,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0903-1236,Amazon,13.99,13.99,18.3,5,2.8,33.9,inches,0.85,pounds,Sm-Oversize,USD,10.74,2.1,0,--,--,--,8.64
HM0801-B-44,Amazon,15.99,15.99,11.61,4.61,2.91,26.65,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0753-1940,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0742-2240,Amazon,15.99,15.99,10.71,4.29,2.91,25.12,inches,0.84,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0739-237,Amazon,15.99,15.99,11.15,9.35,2.9,35.65,inches,0.87,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-L-35,Amazon,14.99,14.99,10.9,4.35,2.9,25.4,inches,0.83,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0738-H-38,Amazon,14.99,14.99,10.79,4.29,2.8,24.96,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0729-M-39,Amazon,15.99,15.99,10.79,4.29,2.8,24.96,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0722-C-36,Amazon,15.99,15.99,9.52,5.43,3.31,27,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0738-137,Amazon,15.99,15.99,10.79,4.29,2.91,25.2,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0722-M-36,Amazon,15.99,15.99,11,4.3,4,27.6,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0803-1242,Amazon,15.99,15.99,11.5,4.49,2.8,26.06,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0751-235,Amazon,15.99,15.99,10.8,4.3,2.9,25.2,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0902-2135,Amazon,13.99,13.99,10.24,3.86,2.83,23.62,inches,0.84,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0801-746,Amazon,15.99,15.99,11,4.3,2.2,23.99,inches,0.95,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0719-1237,Amazon,13.99,13.99,10.91,4.29,2.8,25.08,inches,0.88,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0731-H-35,Amazon,15.99,15.99,10.8,4.3,2.9,25.19,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0742-2239,Amazon,15.99,15.99,10.79,4.29,2.8,24.96,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0751-239,Amazon,15.99,15.99,10.98,4.41,2.8,25.39,inches,1.25,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0719-1037,Amazon,13.99,13.99,10.91,4.29,2.8,25.08,inches,0.88,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0505-1035/36,Amazon,15.99,15.99,10,7.6,4.1,33.4,inches,0.95,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0731-Z-39,Amazon,17.99,17.99,10.98,4.41,2.8,25.39,inches,1.25,pounds,Lg-Std-Non-Media,USD,7.46,2.7,0,--,--,--,4.76
HM0748-1740,Amazon,15.99,15.99,10.98,4.41,4.09,27.99,inches,1.3,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-H-39,Amazon,14.99,14.99,10.91,4.29,2.8,25.08,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0801-2045,Amazon,15.99,15.99,11.61,4.61,2.8,26.42,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0803-3243,Amazon,31.99,15.99,12.09,4.61,2.91,27.13,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0751-2242,Amazon,15.99,15.99,10.87,4.8,2.2,24.87,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0706-L-39,Amazon,15.99,15.99,11.18,4.29,2.8,25.35,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0706-M-41,Amazon,15.99,15.99,10.91,4.41,2.91,25.55,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0724-M-41,Amazon,15.99,15.99,10.79,4.29,2.8,24.96,inches,1.01,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0731-Z-42,Amazon,17.99,17.99,10.87,4.8,2.2,24.87,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.46,2.7,0,--,--,--,4.76
HM0709-1935,Amazon,16.99,16.99,10.9,4.3,2.8,25.1,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0803-3245,Amazon,15.99,15.99,11.61,4.61,2.8,26.42,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0731-H-41,Amazon,16.99,16.99,10.91,4.29,2.8,25.08,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0751-237,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0903-1233,Amazon,13.99,13.99,10.2,3.95,2.8,23.7,inches,0.73,pounds,Lg-Std-Non-Media,USD,5.38,2.1,0,--,--,--,3.28
HM0731-Z-37,Amazon,17.99,17.99,10.91,4.29,2.8,25.08,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.98,2.7,0,--,--,--,3.28
HM0741-1635,Amazon,15.99,15.99,10.8,4.3,2.9,25.2,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0505-1745/46,Amazon,16.99,16.99,11.9,8.8,2.9,35.3,inches,1.35,pounds,Lg-Std-Non-Media,USD,7.81,2.55,0,--,--,--,5.26
HM0731-Y-39,Amazon,16.99,16.99,10.98,4.41,2.8,25.39,inches,1.25,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0701-2138,Amazon,13.99,13.99,10.79,4.29,2.8,24.96,inches,0.93,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0903-1635,Amazon,13.99,13.99,10.24,3.86,2.83,23.62,inches,0.84,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0722-B-36,Amazon,16.99,16.99,9.52,5.43,3.31,27,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.83,2.55,0,--,--,--,3.28
HM0505-1741/42,Amazon,16.99,16.99,11.6,8.5,2.6,33.8,inches,1.25,pounds,Lg-Std-Non-Media,USD,7.81,2.55,0,--,--,--,5.26
HM0752-239,Amazon,15.99,15.99,10.87,4.33,2.83,25.2,inches,0.97,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0709-1237,Amazon,15.99,15.99,10.98,4.29,2.8,25.16,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0724-M-42,Amazon,15.99,15.99,11.5,4.5,2.9,26.3,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-V-35,Amazon,15.99,15.99,10.9,4.35,2.9,25.4,inches,0.83,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-C-35,Amazon,14.99,14.99,10.9,4.35,2.9,25.39,inches,0.83,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0709-237,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,0.84,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0744-241,Amazon,15.99,15.99,10.91,4.41,2.91,25.55,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0753-940,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0505-1737/38,Amazon,16.99,16.99,11,8.2,3.5,34.4,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.81,2.55,0,--,--,--,5.26
HM0801-Y-45,Amazon,15.99,15.99,11.61,4.61,2.8,26.42,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0719-1038,Amazon,14.99,14.99,10.91,4.29,2.8,25.08,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0731-Y-37,Amazon,16.99,16.99,10.91,4.29,2.8,25.08,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.83,2.55,0,--,--,--,3.28
HM0701-H-41,Amazon,14.99,14.99,10.98,4.29,2.8,25.16,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0731-Z-36,Amazon,17.99,17.99,10.9,4.4,2.7,25.1,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.46,2.7,0,--,--,--,4.76
HM0803-1645,Amazon,14.99,14.99,11.61,4.61,2.8,26.42,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0733-1241,Amazon,15.99,15.99,10.91,4.41,2.91,25.55,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0724-F-36,Amazon,15.99,15.99,10.9,4.4,2.8,25.3,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0752-240,Amazon,15.99,15.99,11.3,4.3,2.9,25.7,inches,0.96,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0505-1033/34,Amazon,15.99,15.99,11.1,7.8,3.6,33.89,inches,1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0801-B-43,Amazon,15.99,15.99,11.5,4.49,2.8,26.06,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0740-3241,Amazon,16.99,16.99,11.7,4.5,2.8,26.3,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0742-2241,Amazon,15.99,15.99,11.8,5.1,2.3,26.6,inches,0.8,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0747-0141,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,0.97,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0741-1636,Amazon,15.99,15.99,10.9,4.4,2.7,25.1,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0744-2038,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0505-2031/32,Amazon,15.99,15.99,9.5,6.7,1.8,26.5,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
