sku,fulfilled-by,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,product-size-tier,currency,estimated-fee-total,estimated-referral-fee-per-unit,estimated-variable-closing-fee,estimated-order-handling-fee-per-order,estimated-pick-pack-fee-per-unit,estimated-weight-handling-fee-per-unit,expected-fulfillment-fee-per-unit
HM0726-1141,Amazon,15.99,15.99,10.79,4.29,2.8,24.96,inches,1.01,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0729-M-37,Amazon,14.99,14.99,10.71,4.49,2.8,25.28,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.53,2.25,0,--,--,--,3.28
HM0803-3241,Amazon,14.99,14.99,11.8,4.5,2.8,26.4,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0751-236,Amazon,15.99,15.99,10.9,4.4,2.7,25.1,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-F-37,Amazon,14.99,14.99,10.79,4.29,2.8,24.96,inches,0.9,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0739-137,Amazon,15.99,15.99,11.15,9.35,2.9,35.64,inches,0.87,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0742-0241,Amazon,15.99,15.99,11.8,5.1,2.3,26.6,inches,0.8,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-2136,Amazon,13.99,13.99,9.6,4.5,2.7,23.99,inches,0.7,pounds,Lg-Std-Non-Media,USD,5.38,2.1,0,--,--,--,3.28
HM0505-1731/32,Amazon,16.99,16.99,9.5,6.7,1.8,26.49,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0753-942,Amazon,15.99,15.99,10.87,4.8,2.2,24.87,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0739-238,Amazon,15.99,15.99,10.85,4.3,3.05,25.54,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0719-1239,Amazon,13.99,13.99,10.79,4.29,2.8,24.96,inches,0.88,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0759-3237,Amazon,16.99,16.99,10.83,4.13,3.94,26.97,inches,1.21,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0748-1735,Amazon,15.99,15.99,10.9,4.3,4.1,27.69,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0801-743,Amazon,15.99,15.99,11.5,4.49,2.8,26.06,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-H-38,Amazon,14.99,14.99,10.79,4.29,2.8,24.96,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0701-1136,Amazon,13.99,13.99,9.6,4.5,2.7,23.99,inches,0.7,pounds,Lg-Std-Non-Media,USD,5.38,2.1,0,--,--,--,3.28
HM0728-1837,Amazon,15.99,15.99,10.71,4.41,2.8,25.12,inches,0.71,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0715-3239,Amazon,14.99,14.99,10.98,4.29,2.8,25.16,inches,0.9,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0738-L-37,Amazon,14.99,14.99,10.79,4.29,2.91,25.2,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0737-F-40,Amazon,16.99,16.99,10.98,4.41,4.09,27.99,inches,1.3,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0505-1743/44,Amazon,16.99,16.99,11.8,8.1,3.4,34.8,inches,1.3,pounds,Lg-Std-Non-Media,USD,7.81,2.55,0,--,--,--,5.26
HM0706-L-42,Amazon,15.99,15.99,11.8,4.5,2.8,26.4,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-V-38,Amazon,15.99,15.99,10.79,4.29,2.8,24.96,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0505-1039/40,Amazon,15.99,15.99,10.9,7.8,2.7,31.9,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-F-41,Amazon,14.99,14.99,10.98,4.29,2.8,25.16,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0801-Y-43,Amazon,13.99,15.99,11.5,4.49,2.8,26.06,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-B-40,Amazon,14.99,14.99,10.98,4.41,2.8,25.39,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0722-B-39,Amazon,16.99,16.99,10.91,4.29,4.02,27.52,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0714-240,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-X-39,Amazon,14.99,14.99,10.91,4.8,2.8,26.1,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0737-F-35,Amazon,16.99,16.99,10.9,4.3,4.1,27.69,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0803-3242,Amazon,15.99,15.99,11.5,4.49,2.91,26.3,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0803-3239,Amazon,14.99,14.99,11.6,4.4,2.8,25.99,inches,1,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0748-1739,Amazon,10.99,15.99,10.91,4.29,4.02,27.52,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-L-41,Amazon,14.99,14.99,10.91,4.29,2.8,25.08,inches,0.97,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0724-F-35,Amazon,15.99,15.99,10.95,4.3,2.85,25.25,inches,0.8,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-V-36,Amazon,15.99,15.99,10.4,4.9,2.4,24.99,inches,0.6,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0737-Z-38,Amazon,16.99,16.99,10.91,4.21,3.9,27.13,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0753-1939,Amazon,15.99,15.99,10.98,4.41,2.8,25.39,inches,1.25,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-139,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0801-B-41,Amazon,15.99,15.99,11.8,4.5,2.8,26.4,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0903-1234,Amazon,13.99,13.99,10.15,3.95,2.8,23.65,inches,0.73,pounds,Lg-Std-Non-Media,USD,5.38,2.1,0,--,--,--,3.28
HM0701-2135,Amazon,13.99,13.99,10.9,4.3,2.8,25.1,inches,0.85,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0731-Z-40,Amazon,17.99,17.99,10.91,4.29,2.8,25.08,inches,1,pounds,Lg-Std-Non-Media,USD,7.46,2.7,0,--,--,--,4.76
HM0722-X-38,Amazon,15.99,15.99,10.91,4.21,3.9,27.13,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-V-39,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
